Date,NameOfThePowerStation,Fuel,Producer,InstalledCapacityUnitNoXCapacity,InstalledCapacityMw,PresentCapacityMw,YesterdayDayPeakMw,YesterdayEvPeakMw,TodayDayPeakMw,TodayEvPeakMw,EvShortageForFuelMw,EvShortageForPlantProblemMw,Remark,ProbableStartUpDate
01/09/2021 ,Ghorasal TPP (Unit-1&2),Gas,PDB,2*55,110,85,0,0,0,0,,85,"Unit-1,2 Under maint",
01/09/2021 ,Ghorasal Repowered CCPP Unit-3,Gas,PDB,1*210,210,170,0,0,0,0,170,,Under maint.,
01/09/2021 ,Ghorasal Repowered CCPP Unit-4,Gas,PDB,1*210,210,180,101,0,100,100,80,,Gas shortage,
01/09/2021 ,Ghorasal TPP Unit-5,Gas,PDB,1*210,210,190,0,0,0,0,,190,Under maint.,
01/09/2021 ,Ghorasal 365 MW CCPP Unit-7,Gas,PDB,1*243+1*122,365,365,300,330,300,340,,,,
01/09/2021 ,Ghorashal 78.5 MW PP(MAX),Gas,QRPP,2*40,78,78,0,0,0,0,78,,Gas shortage,
01/09/2021 ,Ghorashal 108MW PP (Regent),Gas,IPP,34*3.35,108,108,52,98,50,50,58,,Gas shortage,
01/09/2021 ,Haripur GTPP,Gas,"SBU, PDB",2*32,32,20,0,0,0,0,,20,Under maint.,
01/09/2021 ,Haripur  412 MW CCPP,Gas,EGCB,1*273+1*139,412,412,368,351,412,412,,,FGMO,
01/09/2021 ,Haripur 360MW CCPP(HPL),Gas,IPP,1*235+1*125,360,360,307,359,360,360,,,,
01/09/2021 ,Meghnaghat 450 MW CCPP(MPL),Gas,IPP,2*150+1*150,450,450,0,0,0,0,,450,Under maint.,
01/09/2021 ,Meghnaghat 100 MW(IEL),HFO,QRPP,12*8.9,100,100,0,0,100,100,,,,
01/09/2021 ,Meghnaghat CCPP(Summit),Gas,IPP,2*110+1*110,305,305,0,0,0,0,305,,Gas shortage,
01/09/2021 ,Madanganj 102 PP(Summit),HFO,QRPP ,6*17,102,100,0,15,100,100,,,,
01/09/2021 ,Madanganj-55 MW PP(Summit),HFO,(IPP),3*17.08+1*11.3,55,55,0,0,55,55,,,,
01/09/2021 ,Keraniganj 100 MW PP (Powerpac),HFO,QRPP,8*13.45,100,100,50,85,100,100,,,,
01/09/2021 ,Narshingdi 22 MW PP  (Doreen),Gas,"SIPP, REB",8*2.90,22,22,22,22,22,22,,,,
01/09/2021 ,210 MW Siddhirgonj TPP,Gas,PDB, 1*210,210,115,0,0,0,0,,115,Under maint.,
01/09/2021 ,Siddhirgonj 2*120 MW GTPP ,Gas,EGCB, 2*105,210,210,0,0,0,0,210,,Gas shortage,
01/09/2021 ,Siddhirganj 100 PP(Dutch Bangla),HFO,QRPP ,12*8.9,100,100,0,0,100,100,,,,
01/09/2021 ,Siddhirganj 335 MW CCPP,Gas,EGCB,1*217+118,335,335,0,0,0,0,,335,Under maint,
01/09/2021 ,Gagnagar 102 MW PP (Digital Power),HFO,IPP,12*8.924,102,102,0,0,100,100,,,,
01/09/2021 ,Katpotti 52 MW PP (Sinha),HFO,IPP,7*7.9,51,51,0,0,50,50,,,,
01/09/2021 ,Kamalaghat 54 MW PP(Banco Energy),HFO,IPP,3*18,54,54,0,17,54,54,,,,
01/09/2021 ,Kodda 150MW PP,HFO,BPDB-RPCL,9*17.06,149,149,0,16,150,150,,,,
01/09/2021 ,Manikganj 55 MW PP (Northern),HFO,IPP,3*19.3,55,55,0,0,35,35,,20,Engine problem,
01/09/2021 ,Nababganj 55 MW PP (Southern power ),HFO,IPP,3*19.3,55,55,0,55,55,55,,,,
01/09/2021 ,Bosila 108MW PP(CLC),HFO,IPP,12*8.775+1*3.5,108,108,0,0,0,0,108,,Fuel shortage,
01/09/2021 ,"Summit Power,(Madhabdi+Ashulia)",Gas,"SIPP,REB",3*3.67+4*8.73,80,80,37,53,58,58,,22,Engine problem,
01/09/2021 ,Maona 33 MW PP(Summit),Gas,"SIPP,REB",4*8.73,33,33,17,17,25,25,,8,Engine problem,
01/09/2021 ,Rupganj 33 MW PP(Summit) ,Gas,"SIPP,REB",4*8.73,33,33,8,25,25,25,,8,Engine problem,
01/09/2021 ,Gazipur 52 MW PP,HFO,IPP,6*8.9,52,52,0,0,52,52,,,,
01/09/2021 ,Tongi 80 MW GTPP,Gas,PDB,1* 105,105,105,0,0,0,0,,105,Under maint.,
01/09/2021 ,Kodda 300 MW PP Unit-2 (Summit) ,HFO,IPP,18*17.076,300,300,60,245,300,300,,,,
01/09/2021 , Keranigonj 300 MW PP (APR),HSD,IPP,256*1.4,300,300,0,0,100,300,,,,
01/09/2021 , Bramhangoan 100 MW PP (Aggreko),HSD,IPP,100,100,100,0,0,50,100,,,,
01/09/2021 ,Aurahati 100MW PP (Aggreko),HSD,IPP,0.85*23+0.95*91,100,100,0,0,60,100,,,,
01/09/2021 ,Kodda 149 MW PP Unit-1 (Summit) ,HFO,IPP,149,149,149,0,17,149,149,,,,
01/09/2021 ,Gazipur 100 MW PP,HFO,RPCL,100 MW,105,105,0,0,105,105,,,,
01/09/2021 ,Meghnaghat 104 MW PP (OPCL),HFO,IPP,18.5*6,104,104,4,53,90,90,,14,Engine problem,
01/09/2021 ,Manikgonj 162MW PP(MPGL),HFO,IPP,9*18,162,162,72,72,162,162,,,,
01/09/2021 ,Chattogram TPP-1 ,Gas,PDB,1*210,210,180,0,0,0,0,180,,Gas shortage,
01/09/2021 ,Chattogram TPP-2,Gas,PDB,1*210,210,180,0,0,0,0,180,,Gas shortage,
01/09/2021 ,Raozan 25 MW PP,HFO,IPP,3*8.9,25,25,25,0,25,25,,,,
01/09/2021 ,Teknaf  20MW PP (Solartech),Solar,Teknaf Solartech Energy Ltd.,20,20,20,18,0,20,0,,,,
01/09/2021 ,Patenga 50MW PP (Baraka),HFO,IPP,8*6.98,50,50,2,50,50,50,,,,
01/09/2021 ,"Karnaphuli Hydro PP Unit-1,2,3,4, 5",Hydro,PDB,2*40+3*50,230,230,42,46,45,45,185,,Low water level,
01/09/2021 ,Sikalbaha 225MW CCPP,Gas/HSD,PDB,1*150+1*175,225,225,0,0,0,0,225,,Gas shortage,
01/09/2021 ,Sikalbaha Peaking GT,Gas/HSD,PDB,1*150 ,150,150,0,0,0,0,150,,Gas shortage,
01/09/2021 ,Sikalbaha 105 MW PP (Baraka Sikalbaha),HFO,IPP,105 MW,105,105,0,0,100,100,,,,
01/09/2021 ,Hathazari 100 MW peaking PP,HFO,PDB,11*8.9,98,98,0,0,0,0,,98,Under maint.,
01/09/2021 ,Dohazari -Kalaish 100 MW Peaking,HFO,PDB,6*17,102,102,0,102,102,102,,,,
01/09/2021 ,Juldah 100 MW Unit-1 (Acorn),HFO,QRPP,8*13.45,100,100,0,0,100,100,,,,
01/09/2021 ,Juldah 100 MW PP Unit-3 (Acorn),HFO,IPP,0,100,100,0,100,100,100,,,,
01/09/2021 ,Barabkunda  22 MW PP (Regent),Gas,"SIPP, PDB",8*2.90,22,22,17,17,17,17,,5,Engine problem,
01/09/2021 ,"Malancha, Ctg. EPZ (United)",Gas,,5*8.73+3*9.34,,0,30,40,25,35,,,,
01/09/2021 ,Chattogram 108 MW PP (ECPV),HFO,IPP,16*7,108,108,0,0,102,102,,,,
01/09/2021 ,Kaptai 7 MW  Solar PP,Solar,PDB,7.4 MW,7,7,4,0,5,0,,,,
01/09/2021 ,Anwara 300 MW PP (United),HFO,IPP,300 MW,300,300,215,124,300,300,,,                                                                                                                                                                                                     ,
01/09/2021 ,Jodiac Power,HFO,IPP,3*18.55+1*3.6,54,54,54,54,54,54,,,,
01/09/2021 ,Karnaphuli Power Ltd.,HFO,IPP,110,110,110,0,0,110,110,,,,
01/09/2021 ,Juldah unit-2 (Acorn),HFO,IPP,8*13.6,100,100,100,100,100,100,,,,
01/09/2021 ,Anlima Energy Ltd.,HFO,IPP,6*21.2,0,0,0,0,0,0,,,,
01/09/2021 ,Ashuganj TPP Unit- 3,Gas,APSCL,1*150,150,135,0,0,0,0,135,,Gas shortage,
01/09/2021 ,Ashuganj TPP Unit- 4,Gas,APSCL,1*150,150,129,0,0,0,0,129,,Gas shortage,
01/09/2021 ,Ashuganj TPP Unit- 5,Gas,APSCL,1*150,150,134,0,0,0,0,134,,Gas shortage,
01/09/2021 ,Ashuganj 225 MW  CCPP ,Gas,APSCL,1*142+1*75,221,221,173,185,180,180,,,,
01/09/2021 ,Ashuganj 450 MW CCPP(North),Gas,APSCL,1*360,360,360,270,325,300,360,,,,
01/09/2021 ,Ashuganj 450 MW CCPP(South),Gas,APSCL,1*360,360,360,300,330,300,330,30,,Gas shortage,
01/09/2021 ,Ashuganj 50 MW PP ,Gas,APSCL,14*3.968,53,45,5,26,5,26,19,,Gas shortage,
01/09/2021 ,Ashuganj 55 MW PP  (Precision) ,Gas,RPP ,15*4,55,55,5,53,5,50,5,,Gas shortage,
01/09/2021 ,Ashuganj 195MW PP (APSCL-United) ,Gas,IPP,20*9.73+1*16,195,195,8,8,8,8,187,,Gas shortage,
01/09/2021 ,Ashuganj  51 MW PP (Midland),Gas,IPP,6*9.34,51,51,51,51,51,51,,,,
01/09/2021 ,Ashuganj 150MW PP (Midland),HFO,IPP,23*7.015,150,150,132,149,150,150,,,,
01/09/2021 ,Titas 50 MW Peaking PP,HFO,PDB,6*8.92,52,52,0,0,0,50,,,,
01/09/2021 ,Chandpur 150 MW CCPP,Gas,PDB,1*106+1*57,163,163,90,91,90,91,,72,Gas shortage,
01/09/2021 ,Chandpur 200MW (Desh energy),HFO,IPP,0,200,200,68,68,200,200,,,,
01/09/2021 ,Feni  22MW PP (Doreen),Gas,"SIPP, PDB",8*2.90,22,22,16,19,19,19,,3,Engine problem,
01/09/2021 ,Feni 11 MW PP  (Doreen),Gas,"SIPP, REB",4*2.90,11,11,11,8,11,11,,,,
01/09/2021 ,Impoprt (Tripura),,Imported power,0,160,160,74,98,135,147,,, ,
01/09/2021 ,Jangalia 33MW PP (Summit) ,Gas,"SIPP, PDB",4*8.73,33,33,33,33,33,33,,,,
01/09/2021 ,Jangalia 52 MW PP (Lakdanavi),HFO,IPP,6*8.92,52,52,0,0,43,43,,9,Engine problem,
01/09/2021 ,Cumilla 25 MW PP (Summit),Gas,"SIPP, PDB",3*3.67+2*6.97,25,25,21,21,20,22,,,,
