Date,NameOfThePowerStation,Fuel,Producer,InstalledCapacityUnitNoXCapacity,InstalledCapacityMw,PresentCapacityMw,YesterdayDayPeakMw,YesterdayEvPeakMw,TodayDayPeakMw,TodayEvPeakMw,EvShortageForFuelMw,EvShortageForPlantProblemMw,Remark,ProbableStartUpDate
12/25/2020 ,Sikalbaha 105 MW PP (Baraka Sikalbaha),HFO,IPP,105 MW,105,105,0,0,100,100,,,,
12/25/2020 ,Hathazari 100 MW peaking PP,HFO,PDB,11*8.9,98,98,0,0,0,0,,98,Under maint.,
12/25/2020 ,Dohazari -Kalaish 100 MW Peaking,HFO,PDB,6*17,102,102,0,102,100,100,,,,
12/25/2020 ,Juldah 100 MW Unit-1 (Acorn),HFO,QRPP,8*13.45,100,100,0,10,100,100,,,,
12/25/2020 ,Juldah 100 MW PP Unit-3 (Acorn),HFO,IPP,0,100,100,100,100,100,100,,,,
12/25/2020 ,Barabkunda  22 MW PP (Regent),Gas,"SIPP, PDB",8*2.90,22,22,17,19,16,16,,6,Engine problem,
12/25/2020 ,"Malancha, Ctg. EPZ (United)",Gas,,5*8.73+3*9.34,,0,5,25,25,35,,,,
12/25/2020 ,Chattogram 108 MW PP (ECPV),HFO,IPP,16*7,108,108,0,51,102,102,,,,
12/25/2020 ,Kaptai 7 MW  Solar PP,Solar,PDB,7.4 MW,7,7,5,0,5,0,,,,
12/25/2020 ,Anwara 300 MW PP (United),HFO,IPP,300 MW,300,300,216,253,300,300,,,                                                                                                                                                                                                     ,
12/25/2020 ,Jodiac Power,HFO,IPP,3*18.55+1*3.6,54,54,54,54,54,54,,,,
12/25/2020 ,Karnaphuli Power Ltd.,HFO,IPP,110,110,110,0,0,110,110,,,,
12/25/2020 ,Juldah unit-2 (Acorn),HFO,IPP,8*13.6,100,100,50,60,100,100,,,,
12/25/2020 ,Anlima Energy Ltd.,HFO,IPP,6*21.2,0,0,20,0,0,0,,,,
12/25/2020 ,Ashuganj TPP Unit- 3,Gas,APSCL,1*150,150,135,15,80,135,135,,,,
12/25/2020 ,Ashuganj TPP Unit- 4,Gas,APSCL,1*150,150,129,150,150,129,129,,,,
12/25/2020 ,Ashuganj TPP Unit- 5,Gas,APSCL,1*150,150,134,0,0,0,0,134,,Gas shortage,
12/25/2020 ,Ashuganj 225 MW  CCPP ,Gas,APSCL,1*142+1*75,221,221,0,0,0,0,,221,Under maint.,
12/25/2020 ,Ashuganj 450 MW CCPP(North),Gas,APSCL,1*360,360,360,0,0,0,0,,360,Under maint.,
12/25/2020 ,Ashuganj 450 MW CCPP(South),Gas,APSCL,1*360,360,360,360,290,360,360,,,,
12/25/2020 ,Ashuganj 50 MW PP ,Gas,APSCL,14*3.968,53,45,26,26,23,23,22,,Gas shortage,
12/25/2020 ,Ashuganj 55 MW PP  (Precision) ,Gas,RPP ,15*4,55,55,54,53,55,55,,,,
12/25/2020 ,Ashuganj 195MW PP (APSCL-United) ,Gas,IPP,20*9.73+1*16,195,195,41,16,16,40,155,,Gas shortage,
12/25/2020 ,Ashuganj  51 MW PP (Midland),Gas,IPP,6*9.34,51,51,51,51,51,51,,,,
12/25/2020 ,Ashuganj 150MW PP (Midland),HFO,IPP,23*7.015,150,150,118,142,150,150,,,,
12/25/2020 ,Titas 50 MW Peaking PP,HFO,PDB,6*8.92,52,52,0,0,0,50,,,,
12/25/2020 ,Chandpur 150 MW CCPP,Gas,PDB,1*106+1*57,163,163,51,50,50,50,113,,Gas shortage & ST under maint.,
12/25/2020 ,Chandpur 200MW (Desh energy),HFO,IPP,0,200,200,0,68,200,200,,,,
12/25/2020 ,Feni  22MW PP (Doreen),Gas,"SIPP, PDB",8*2.90,22,22,0,18,18,18,,4,Engine problem,
12/25/2020 ,Feni 11 MW PP  (Doreen),Gas,"SIPP, REB",4*2.90,11,11,0,11,11,11,,,,
12/25/2020 ,Impoprt (Tripura),,Imported power,0,160,160,78,104,140,149,,, ,
12/25/2020 ,Jangalia 33MW PP (Summit) ,Gas,"SIPP, PDB",4*8.73,33,33,0,33,25,33,,,,
12/25/2020 ,Jangalia 52 MW PP (Lakdanavi),HFO,IPP,6*8.92,52,52,0,24,43,43,,9,Engine problem,
12/25/2020 ,Cumilla 25 MW PP (Summit),Gas,"SIPP, PDB",3*3.67+2*6.97,25,25,18,22,20,22,,,,
12/25/2020 ,Daudkandi 200 MW PP (B.Trac),HSD,IPP,154*1.4,200,200,0,0,0,200,,,,
12/25/2020 ,Feni Lanka Power,HFO,IPP,7*18.415+1*9.78,114,114,114,34,114,114,,,,
12/25/2020 ,Chowmuhani 113 MW,HFO,IPP,12*9.78+2*3.1,113,113,0,35,113,113,,,,
12/25/2020 ,RPCL 210MW CCPP,Gas,IPP,4*35+1*70,210,202,105,106,115,115,87,,Gas shortage,
12/25/2020 ,Tangail  22 MW PP (Doreen),Gas,"SIPP, PDB",8*2.90,22,22,20,20,20,20,,,,
12/25/2020 ,Jamalpur 95 MW PP(Powerpac),HFO,IPP,12*8.924,95,95,8,83,95,95,,,,
12/25/2020 ,Sarishabari 3 MW Solar Plant,Solar,IPP,1*3,3,3,2,0,1.6,0,,,,
12/25/2020 , Mymensingh 200 MW PP (United),HFO,IPP,200,200,200,0,24,200,200,,,,
12/25/2020 ,Jamalpur 115 MW PP (United),HFO,IPP,115 MW,115,115,115,115,115,115,,,,
12/25/2020 ,Sutiakhali 50 MW Solar PP,Solar,IPP,50,50,50,45,0,50,0,,,,
12/25/2020 ,Tangail Palli Power Gen 22 MW,HFO,SIPP,4*6.7,0,0,0,0,0,0,,,,
12/25/2020 ,Fenchugonj CCPP Phase-1,Gas,PDB,2*32+1*33,97,70,0,20,30,30,,,,
12/25/2020 ,Fenchugonj CCPP Phase-2,Gas,PDB,2*35+1*35,104,90,20,32,30,30,,,,
12/25/2020 ,Kushiara 163 MW CCPP (KP),Gas,IPP,1*109+1*54,163,163,163,140,163,163,,,,
12/25/2020 ,Shajibazar 330 MW CCPP,Gas,PDB,3*110,330,330,160,155,158,158,172,,GT-2 under shut down for gas shortage,
12/25/2020 ,Fenchugonj 51 MW PP  (Barakatullah) ,Gas,RPP ,19*2.90,51,51,50,14,51,51,,,,
12/25/2020 ,Fenchuganj  44MW (Energyprima),Gas,RPP,12*3.3+5*2,44,44,50,47,44,44,,,,
12/25/2020 ,Hobiganj  11MW PP Cofidence-E,Gas,"SIPP, REB",4*2.90,11,11,0,8,11,11,,,,
12/25/2020 ,Shahjibazar GTPP Unit- 8 & 9 ,Gas,PDB,2*35,70,66,32,32,33,33,,33,GT-8 under maint.,
12/25/2020 ,Shahjibazar 86MW PP (Shahjibazar),Gas,RPP ,32*2.90,86,86,73,74,86,86,,,,
12/25/2020 ,Shahjibazar 100 MW GTPP,Gas,PDB,1*100,0,0,0,0,100,100,,,,
12/25/2020 ,Sylhet 225 MW CCPP,Gas,PDB,1*142+1*89,231,231,215,176,215,215,,,,
12/25/2020 ,Sylhet  20 MW GTPP,Gas,PDB,1*20,20,20,18,18,20,20,,,,
12/25/2020 ,Sylhet  50MW PP (EPL),Gas,RPP ,27*2,50,50,0,0,0,0,,,Contract Expired,
12/25/2020 ,Shahjahanulla 25 MW PP,Gas,"SIPP, REB",3*9.34,25,25,14,16,16,16,,9,Engine problem,
12/25/2020 ,Bibiana-II 341 MW CCPP (Summit),Gas,IPP,1*222+1*119,341,341,0,0,0,0,,341,Under maint.,
12/25/2020 ,Bibiyana-III     400 MW CCPP,Gas,PDB,400 MW,400,400,219,270,300,300,,,,
